year,annmax,nobs
1928,1.209,8784
1929,0.873,8760
1930,1.087,7927
1931,0.751,8760
1932,0.904,8784
1933,2.032,8483
1934,0.66,8760
1935,0.843,8250
1936,1.635,8784
1937,0.934,8760
1938,0.873,8760
1939,0.776,8760
1940,1.081,8251
1941,0.66,8372
1942,0.721,5685
1943,0.934,2573
1944,0.812,8784
1945,1.026,8216
1946,1.026,8760
1947,0.986,8760
1948,1.227,8784
1949,0.934,8760
1950,0.782,8760
1951,1.026,8760
1952,0.904,8784
1953,1.026,8760
1954,0.904,8760
1955,0.965,8760
1956,1.513,8784
1957,1.3,8760
1958,1.209,8760
1959,0.782,8760
1960,1.3,8784
1961,1.148,8407
1962,1.788,8755
1963,0.934,8760
1964,1.27,8784
1965,1.026,8760
1966,0.904,7992
1967,1.026,8760
1968,1.087,8784
1969,1.087,8760
1970,0.965,8760
1971,1.117,8760
1972,1.105,8451
1973,1.148,8760
1974,1.017,8760
1975,0.864,7477
1976,0.8,8618
1977,1.227,8760
1978,1.541,8760
1979,0.934,8760
1980,0.852,8784
1981,1.065,8760
1982,1.388,8760
1983,1.099,8760
1984,0.959,8784
1985,1.123,8760
1986,1.206,8760
1987,1.242,8760
1988,1.291,8784
1989,0.992,8760
1990,1.004,8760
1991,1.202,8760
1992,1.279,8784
1993,1.096,8760
1994,1.193,8760
1995,0.983,8760
1996,1.128,8784
1997,1.259,8760
1998,1.59,8760
1999,1.369,8760
2000,1.252,8784
2001,1.052,8760
2002,1.014,8760
2003,1.992,8760
2004,1.136,8784
2005,1.107,8760
2006,1.616,8760
2007,1.042,8760
2008,1.357,8784
2009,1.927,8760
2010,1.333,8760
2011,1.885,8760
2012,1.648,8784
2013,1.256,8760
2014,1.122,8760
2015,1.565,8760
2016,1.456,8784
2017,1.177,8760
2018,1.161,8760
2019,1.345,8760
2020,1.241,8784
2021,1.244,8760
2022,1.433,8760
2023,1.325,8760
2024,1.245,8784
